IRI Week,Year,Calendar week starting on,Calendar week ending on,Jan,Feb,Mar,Apr,May,Jun,July,Aug,Sep,Oct,Nov,Dec,Halloween,Halloween_1,Thanksgiving,Thanksgiving_1,Christmas,Christmas_1,NewYear,President,President_1,Easter,Easter_1,Memorial,Memorial_1,4thJuly,4thJuly_1,Labour,Labour_1
1294,2004,14-Jun-04,20-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1295,2004,21-Jun-04,27-Jun-04,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1296,2004,28-Jun-04,4-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1297,2004,5-Jul-04,11-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1298,2004,12-Jul-04,18-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1299,2004,19-Jul-04,25-Jul-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1300,2004,26-Jul-04,1-Aug-04,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1301,2004,2-Aug-04,8-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1302,2004,9-Aug-04,15-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1303,2004,16-Aug-04,22-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1304,2004,23-Aug-04,29-Aug-04,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1305,2004,30-Aug-04,5-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1
1306,2004,6-Sep-04,12-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1307,2004,13-Sep-04,19-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1308,2004,20-Sep-04,26-Sep-04,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1309,2004,27-Sep-04,3-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1310,2004,4-Oct-04,10-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1311,2004,11-Oct-04,17-Oct-04,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1312,2004,18-Oct-04,24-Oct-04,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1313,2004,25-Oct-04,31-Oct-04,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,
1314,2004,1-Nov-04,7-Nov-04,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1315,2004,8-Nov-04,14-Nov-04,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1316,2004,15-Nov-04,21-Nov-04,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1317,2004,22-Nov-04,28-Nov-04,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1318,2004,29-Nov-04,5-Dec-04,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1319,2004,6-Dec-04,12-Dec-04,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1320,2004,13-Dec-04,19-Dec-04,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1321,2004,20-Dec-04,26-Dec-04,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1322,2004,27-Dec-04,2-Jan-05,,,,,,,,,,,,1,0,,,,,,1,,,,,,,,,,
1323,2005,3-Jan-05,9-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1324,2005,10-Jan-05,16-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1325,2005,17-Jan-05,23-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1326,2005,24-Jan-05,30-Jan-05,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1327,2005,31-Jan-05,6-Feb-05,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1328,2005,7-Feb-05,13-Feb-05,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1329,2005,14-Feb-05,20-Feb-05,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1330,2005,21-Feb-05,27-Feb-05,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1331,2005,28-Feb-05,6-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1332,2005,7-Mar-05,13-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1333,2005,14-Mar-05,20-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,,1,,,,,,
1334,2005,21-Mar-05,27-Mar-05,,,1,,,,,,,,,,0,,,,,,,,,1,,,,,,,
1335,2005,28-Mar-05,3-Apr-05,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1336,2005,4-Apr-05,10-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1337,2005,11-Apr-05,17-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1338,2005,18-Apr-05,24-Apr-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1339,2005,25-Apr-05,1-May-05,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1340,2005,2-May-05,8-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1341,2005,9-May-05,15-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1342,2005,16-May-05,22-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1343,2005,23-May-05,29-May-05,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1344,2005,30-May-05,5-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,1,,,,
1345,2005,6-Jun-05,12-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,1,,,,,
1346,2005,13-Jun-05,19-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1347,2005,20-Jun-05,26-Jun-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1348,2005,27-Jun-05,3-Jul-05,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1349,2005,4-Jul-05,10-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1350,2005,11-Jul-05,17-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1351,2005,18-Jul-05,24-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1352,2005,25-Jul-05,31-Jul-05,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1353,2005,1-Aug-05,7-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1354,2005,8-Aug-05,14-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1355,2005,15-Aug-05,21-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1356,2005,22-Aug-05,28-Aug-05,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1357,2005,29-Aug-05,4-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,1
1358,2005,5-Sep-05,11-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1359,2005,12-Sep-05,18-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1360,2005,19-Sep-05,25-Sep-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1361,2005,26-Sep-05,2-Oct-05,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1362,2005,3-Oct-05,9-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1363,2005,10-Oct-05,16-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1364,2005,17-Oct-05,23-Oct-05,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1365,2005,24-Oct-05,30-Oct-05,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1366,2005,31-Oct-05,6-Nov-05,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
1367,2005,7-Nov-05,13-Nov-05,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1368,2005,14-Nov-05,20-Nov-05,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1369,2005,21-Nov-05,27-Nov-05,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1370,2005,28-Nov-05,4-Dec-05,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1371,2005,5-Dec-05,11-Dec-05,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1372,2005,12-Dec-05,18-Dec-05,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1373,2005,19-Dec-05,25-Dec-05,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1374,2005,26-Dec-05,1-Jan-06,,,,,,,,,,,,1,0,,,,,,1,,,,,,,,,,
1375,2006,2-Jan-06,8-Jan-06,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1376,2006,9-Jan-06,15-Jan-06,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1377,2006,16-Jan-06,22-Jan-06,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1378,2006,23-Jan-06,29-Jan-06,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1379,2006,30-Jan-06,5-Feb-06,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1380,2006,6-Feb-06,12-Feb-06,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1381,2006,13-Feb-06,19-Feb-06,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1382,2006,20-Feb-06,26-Feb-06,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1383,2006,27-Feb-06,5-Mar-06,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1384,2006,6-Mar-06,12-Mar-06,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1385,2006,13-Mar-06,19-Mar-06,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1386,2006,20-Mar-06,26-Mar-06,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1387,2006,27-Mar-06,2-Apr-06,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1388,2006,3-Apr-06,9-Apr-06,,,,1,,,,,,,,,0,,,,,,,,,,1,,,,,,
1389,2006,10-Apr-06,16-Apr-06,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1390,2006,17-Apr-06,23-Apr-06,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1391,2006,24-Apr-06,30-Apr-06,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1392,2006,1-May-06,7-May-06,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1393,2006,8-May-06,14-May-06,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1394,2006,15-May-06,21-May-06,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1395,2006,22-May-06,28-May-06,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1396,2006,29-May-06,4-Jun-06,,,,,,1,,,,,,,0,,,,,,,,,,,1,,,,,
1397,2006,5-Jun-06,11-Jun-06,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1398,2006,12-Jun-06,18-Jun-06,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1399,2006,19-Jun-06,25-Jun-06,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1400,2006,26-Jun-06,2-Jul-06,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1401,2006,3-Jul-06,9-Jul-06,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1402,2006,10-Jul-06,16-Jul-06,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1403,2006,17-Jul-06,23-Jul-06,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1404,2006,24-Jul-06,30-Jul-06,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1405,2006,31-Jul-06,6-Aug-06,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1406,2006,7-Aug-06,13-Aug-06,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1407,2006,14-Aug-06,20-Aug-06,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1408,2006,21-Aug-06,27-Aug-06,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1409,2006,28-Aug-06,3-Sep-06,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1410,2006,4-Sep-06,10-Sep-06,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1411,2006,11-Sep-06,17-Sep-06,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1412,2006,18-Sep-06,24-Sep-06,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1413,2006,25-Sep-06,1-Oct-06,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1414,2006,2-Oct-06,8-Oct-06,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1415,2006,9-Oct-06,15-Oct-06,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1416,2006,16-Oct-06,22-Oct-06,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1417,2006,23-Oct-06,29-Oct-06,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1418,2006,30-Oct-06,5-Nov-06,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
1419,2006,6-Nov-06,12-Nov-06,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1420,2006,13-Nov-06,19-Nov-06,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1421,2006,20-Nov-06,26-Nov-06,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1422,2006,27-Nov-06,3-Dec-06,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1423,2006,4-Dec-06,10-Dec-06,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1424,2006,11-Dec-06,17-Dec-06,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1425,2006,18-Dec-06,24-Dec-06,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1426,2006,25-Dec-06,31-Dec-06,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
1427,2007,1-Jan-07,7-Jan-07,1,,,,,,,,,,,,0,,,,,,1,,,,,,,,,,
1428,2007,8-Jan-07,14-Jan-07,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1429,2007,15-Jan-07,21-Jan-07,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1430,2007,22-Jan-07,28-Jan-07,1,,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1431,2007,29-Jan-07,4-Feb-07,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1432,2007,5-Feb-07,11-Feb-07,,1,,,,,,,,,,,0,,,,,,,,1,,,,,,,,
1433,2007,12-Feb-07,18-Feb-07,,1,,,,,,,,,,,0,,,,,,,1,,,,,,,,,
1434,2007,19-Feb-07,25-Feb-07,,1,,,,,,,,,,,0,,,,,,,,,,,,,,,,
1435,2007,26-Feb-07,4-Mar-07,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1436,2007,5-Mar-07,11-Mar-07,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1437,2007,12-Mar-07,18-Mar-07,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1438,2007,19-Mar-07,25-Mar-07,,,1,,,,,,,,,,0,,,,,,,,,,,,,,,,
1439,2007,26-Mar-07,1-Apr-07,,,1,,,,,,,,,,0,,,,,,,,,,1,,,,,,
1440,2007,2-Apr-07,8-Apr-07,,,,1,,,,,,,,,0,,,,,,,,,1,,,,,,,
1441,2007,9-Apr-07,15-Apr-07,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1442,2007,16-Apr-07,22-Apr-07,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1443,2007,23-Apr-07,29-Apr-07,,,,1,,,,,,,,,0,,,,,,,,,,,,,,,,
1444,2007,30-Apr-07,6-May-07,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1445,2007,7-May-07,13-May-07,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1446,2007,14-May-07,20-May-07,,,,,1,,,,,,,,0,,,,,,,,,,,,,,,,
1447,2007,21-May-07,27-May-07,,,,,1,,,,,,,,0,,,,,,,,,,,,1,,,,
1448,2007,28-May-07,3-Jun-07,,,,,1,,,,,,,,0,,,,,,,,,,,1,,,,,
1449,2007,4-Jun-07,10-Jun-07,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1450,2007,11-Jun-07,17-Jun-07,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1451,2007,18-Jun-07,24-Jun-07,,,,,,1,,,,,,,0,,,,,,,,,,,,,,,,
1452,2007,25-Jun-07,1-Jul-07,,,,,,1,,,,,,,0,,,,,,,,,,,,,,1,,
1453,2007,2-Jul-07,8-Jul-07,,,,,,,1,,,,,,0,,,,,,,,,,,,,1,,,
1454,2007,9-Jul-07,15-Jul-07,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1455,2007,16-Jul-07,22-Jul-07,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1456,2007,23-Jul-07,29-Jul-07,,,,,,,1,,,,,,0,,,,,,,,,,,,,,,,
1457,2007,30-Jul-07,5-Aug-07,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1458,2007,6-Aug-07,12-Aug-07,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1459,2007,13-Aug-07,19-Aug-07,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1460,2007,20-Aug-07,26-Aug-07,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,
1461,2007,27-Aug-07,2-Sep-07,,,,,,,,1,,,,,0,,,,,,,,,,,,,,,,1
1462,2007,3-Sep-07,9-Sep-07,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,1,
1463,2007,10-Sep-07,16-Sep-07,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1464,2007,17-Sep-07,23-Sep-07,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1465,2007,24-Sep-07,30-Sep-07,,,,,,,,,1,,,,0,,,,,,,,,,,,,,,,
1466,2007,1-Oct-07,7-Oct-07,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1467,2007,8-Oct-07,14-Oct-07,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1468,2007,15-Oct-07,21-Oct-07,,,,,,,,,,1,,,0,,,,,,,,,,,,,,,,
1469,2007,22-Oct-07,28-Oct-07,,,,,,,,,,1,,,0,1,,,,,,,,,,,,,,,
1470,2007,29-Oct-07,4-Nov-07,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,
1471,2007,5-Nov-07,11-Nov-07,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1472,2007,12-Nov-07,18-Nov-07,,,,,,,,,,,1,,0,,,1,,,,,,,,,,,,,
1473,2007,19-Nov-07,25-Nov-07,,,,,,,,,,,1,,0,,1,,,,,,,,,,,,,,
1474,2007,26-Nov-07,2-Dec-07,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,
1475,2007,3-Dec-07,9-Dec-07,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1476,2007,10-Dec-07,16-Dec-07,,,,,,,,,,,,1,0,,,,,,,,,,,,,,,,
1477,2007,17-Dec-07,23-Dec-07,,,,,,,,,,,,1,0,,,,,1,,,,,,,,,,,
1478,2007,24-Dec-07,30-Dec-07,,,,,,,,,,,,1,0,,,,1,,,,,,,,,,,,
